Stock,RSI Entry,RSI Exit,ROI %
GO.csv,0,0,0.00
GRMN.csv,44,55,215.21
HCA.csv,42,55,153.47
KNOS.csv,44,56,441.14
LITE.csv,38,55,124.13
LOW.csv,44,56,558.36
LPSN.csv,41,55,287.49
MA.csv,43,55,171.42
MAIN.csv,44,55,164.65
MCD.csv,44,56,513.24
MPWR.csv,44,56,409.38
MSFT.csv,44,56,494.72
MTH.csv,35,55,227.47
NBIX.csv,44,56,778.58
NEE.csv,44,56,381.85
NKE.csv,44,56,527.95
NVDA.csv,44,56,688.00
NVO.csv,37,56,110.91
NXST.csv,41,56,553.59
O.csv,37,56,109.56
PAYC.csv,40,55,206.58
PEN.csv,40,56,213.45
PEP.csv,44,56,174.61
PGR.csv,44,55,699.55
PINS.csv,23,55,53.62
POOL.csv,44,56,393.01
QLYS.csv,43,56,219.88
SHOP.csv,43,56,629.27
SPLK.csv,43,55,233.42
SRPT.csv,44,56,530.55
TEAM.csv,44,56,136.00
TMO.csv,43,56,334.72
USDV.L.csv,38,56,53.07
V.csv,44,55,131.75
VRSK.csv,32,55,49.12
WEN.csv,33,55,174.28
